"	部门","	员工编码","	员工姓名","	打卡时间","	当前班次","	该班次的上下班时间","	当前楼层","	门禁名称","	状态","	地点"
"	人力资源部","	21033887","	张三","	2022-07-30 17:30:48","	","	-","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-30 16:41:01","	","	-","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-30 16:36:32","	","	-","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-30 12:43:25","	","	-","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-30 12:41:37","	","	-","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-30 12:40:35","	","	-","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-29 18:44:42","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-29 08:39:55","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-28 20:09:27","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-28 20:05:08","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-28 20:03:58","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-28 09:08:55","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-28 09:05:10","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-28 08:27:26","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-27 17:47:50","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-27 10:00:11","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-27 09:51:30","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-27 08:13:31","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-26 19:26:57","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-26 12:34:45","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-26 11:17:29","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-26 08:46:43","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-25 18:19:37","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-25 11:49:02","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-25 11:45:37","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-25 08:37:10","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-22 18:16:19","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-22 17:54:34","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-22 16:32:44","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	出","	"
"	人力资源部","	21033887","	张三","	2022-07-22 08:36:15","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	进","	"
"	人力资源部","	21033887","	张三","	2022-07-21 18:18:49","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-21 08:13:32","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-20 14:05:29","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-20 13:59:31","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-20 13:58:06","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-20 08:33:04","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	"
"	人力资源部","	21033887","	张三","	2022-07-19 19:12:20","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧出"
"	人力资源部","	21033887","	张三","	2022-07-19 17:44:26","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧入"
"	人力资源部","	21033887","	张三","	2022-07-19 17:43:29","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧出"
"	人力资源部","	21033887","	张三","	2022-07-19 10:41:20","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧入"
"	人力资源部","	21033887","	张三","	2022-07-19 10:40:38","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧出"
"	人力资源部","	21033887","	张三","	2022-07-19 08:59:39","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧入"
"	人力资源部","	21033887","	张三","	2022-07-19 08:57:29","	办公班","	09:00-12:30;  13:30-17:30","	（）","	","	","	主楼负3楼东侧出"
